prioridad_rank,filas_afectadas_total,filas_vegetativa,filas_pesos,modulo_raw,turno_raw,valvula_raw,cama_raw,modulo_normalizado,id_geografia_base,id_cama,estados_detectados,detalle_resolucion,archivos_fuente,fecha_ultima_aparicion
294,1,1,0,9.2,10,1,0,9.2,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
295,1,1,0,9.2,10,1,18,9.2,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
296,1,1,0,9.2,10,1,23,9.2,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
297,1,1,0,9.2,10,2,0,9.2,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
298,1,1,0,9.2,10,2,16,9.2,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
299,1,1,0,9.2,10,2,18,9.2,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
300,1,1,0,9.2,10,2,23,9.2,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
301,1,1,0,9.2,10,3,0,9.2,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
302,1,1,0,9.2,10,3,16,9.2,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
303,1,1,0,9.2,10,3,18,9.2,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
304,1,1,0,9.2,10,3,31,9.2,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
305,1,1,0,9.2,11,1,0,9.2,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
306,1,1,0,9.2,11,1,18,9.2,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
307,1,1,0,9.2,11,2,0,9.2,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
308,1,1,0,9.2,11,2,23,9.2,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
309,1,1,0,9.2,11,3,0,9.2,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
310,1,1,0,9.2,11,3,23,9.2,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
311,1,0,1,9.,10,1,15,9.,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Reporte_evaluacion_peso.xlsx,2026-03-24 12:09:36.273032
312,1,0,1,9.,10,4,0,9.,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Reporte_evaluacion_peso.xlsx,2026-03-24 12:09:36.273032
